model,iter,tracc,trfa,trdr,teacc,tefa,tedr,tteacc,ttefa,ttedr
NcwtFsvm,6,1,0,1,0.974475495,0.01217629,0.949115044,0.475777296,0.314308053,0.000589971
NcwtFsvm,7,1,0,1,0.977013599,0.010843679,0.953758067,0.582954752,0.216088766,0.201264489
NcwtFsvm,8,1,0,1,0.976722302,0.009465703,0.950204869,0.417624521,0.377217554,0.040091638
NcwtFsvm,9,1,0,1,0.976650833,0.010425717,0.95216423,0.570321517,0.193028219,0.03030303
NcwtFrf,0,1,0,1,0.827031711,0.007316762,0.514432791,0.685591859,0.023589744,0.018812463
NcwtFrf,1,1,0,1,0.82548134,0.008408423,0.507659799,0.621333333,0.089580093,0.061445783
NcwtFrf,2,1,0,1,0.829347808,0.012022828,0.531568422,0.71982345,0.0224,0.058179329
NcwtFrf,3,1,0,1,0.827657031,0.007758353,0.520669529,0.708220271,0.018210082,0.00908059
NcwtFrf,4,1,0,1,0.825660428,0.007594354,0.50950257,0.673968416,0.017950636,0.015974441
NcwtFrf,5,1,0,1,0.830432629,0.006085142,0.517724015,0.635464999,0.037105182,0.005896226
NcwtFrf,6,1,0,1,0.819956544,0.00863313,0.49432474,0.642154132,0.068292683,0.01179941
NcwtFrf,7,1,0,1,0.827378971,0.007121316,0.510505119,0.657324841,0.013900473,0.034246575
NcwtFrf,8,1,0,1,0.829021447,0.006855163,0.51395517,0.636217627,0.026275116,0.010882016
NcwtFrf,9,1,0,1,0.826093497,0.009622993,0.514476615,0.619834711,0.109286939,0.021645022
NcwtFdnn,0,0.892300975,0.083041958,0.843137255,0.891023065,0.085616356,0.844462619,0.466359154,0.361971217,0.003527337
NcwtFdnn,1,0.961527079,0.024444943,0.934319269,0.960505193,0.024215001,0.930989771,0.345283676,0.521536955,0.01746988
NcwtFdnn,2,0.978904847,0.01626575,0.969814575,0.972307997,0.02037566,0.958527759,0.46125523,0.418918919,0.091033539
NcwtFdnn,3,0.961965617,0.007236228,0.904325033,0.957064898,0.011075623,0.897400029,0.605500161,0.155520646,0.001135074
NcwtFdnn,4,0.926105391,0.006472492,0.798068481,0.922295038,0.009109467,0.791961602,0.459973753,0.335704125,0.001064963
NcwtFdnn,5,0.990128627,0.008881804,0.988235294,0.983169265,0.017835132,0.985089702,0.380279376,0.473228526,0.001179245
NcwtFdnn,6,0.969011976,0.034891676,0.976470588,0.962940943,0.041700201,0.971816083,0.480934579,0.296853625,0.001769912
NcwtFdnn,7,0.92978818,0.044906166,0.88,0.923846154,0.049146724,0.870784609,0.578920742,0.380208333,0.492096944
NcwtFdnn,8,0.97205201,0.004772727,0.927542558,0.969700975,0.006359181,0.923788865,0.531742822,0.201875,0.043528064
NcwtFdnn,9,0.977905569,0.008548983,0.952192982,0.975436426,0.008020434,0.944078629,0.520094964,0.316127439,0.161255411
YcwtFsvm,0,0.998790993,0.000956206,0.997838617,0.926359176,0.042367168,0.807223114,0.733635097,0.101051277,0.022160665
YcwtFsvm,1,0.997906699,0.001132289,0.994240461,0.923019802,0.044804912,0.79783714,0.595998461,0.25475661,0.071242398
YcwtFsvm,2,0.998347356,0.001149646,0.996520529,0.923400799,0.045614331,0.808580343,0.784106215,0.141720097,0.286350148
YcwtFsvm,3,0.997710623,0.002130957,0.997122302,0.922408421,0.048034374,0.812638933,0.759288917,0.107944895,0.014814815
